"X","content","headline","section_name","type_of_material"
564,"










ATHENS  European officials expressed concern on Thursday about a rise of extremism in Greece, a day after thousands of demonstrators took to the streets in several Greek cities to protest the killing of an antifascist activist. The Greek police said the killer was a supporter of the right-wing Golden Dawn party.        



Thorbjorn Jagland, the secretary general of the Council of Europe, said an extremely dangerous development was emerging in Greece and in other parts of Europe. Sections of society are becoming more radicalized, and there is a real risk that hate speech turns into violence and coldblooded murder, he said.        
Prime Minister Antonis Samaras of Greece made another appeal for calm on Thursday, describing the killing of the activist  Pavlos Fyssas, 34, a leftist hip-hop singer  as inhuman. He said the government was determined not to allow the descendants of the Nazis to poison our social life, to commit crimes, to terrorize and to undermine the foundations of the country that gave birth to democracy.        
Mr. Samaras did not say what actions the government would take, and did not comment on a suggestion advanced by the countrys public order minister, calling for changes in the laws defining criminal organizations to rein in Golden Dawn. The minister late on Thursday sent the Supreme Court prosecutor a list of offenses believed to have been carried out by Golden Dawn and asked for the party to be treated as a criminal organization.        
The party, whose members have been accused of criminal violence against immigrants, has gained popularity recently, especially among Greeks angered by high unemployment and economic woes. Golden Dawn has insisted that it had nothing to do with the killing of Mr. Fyssas.        
Tensions have been growing between Mr. Samarass fragile coalition government and the main leftist opposition party in Greece, Syriza, which has also been gaining in popularity. One of the prime ministers chief advisers, Chrysanthos Lazaridis, said Syriza was also engaged in political violence, and suggested that the leftist party was not part of Greeces constitutional axis.        
Mr. Samaras said, Political disagreements should be solved with democratic dialogue, not inflammatory arguments or with violence, wherever it may come from.        



 



","Greek Killing Raises Fears of Extremism","World","News"
565,"









 
NBC will feature one of its icons, Johnny Carson, in an ambitious biopic mini-series, the network announced on Thursday.        
The timing of the special was not announced, nor the crucial decision on who will play Carson. That was in contrast to NBCs announcement earlier this summer of another mini-series based on Hillary Clinton. In that case, the casting of Diane Lane was central to the announcement.        
The Carson mini-series will be based on a long-awaited biography of the late-night star by Bill Zehme, who also will serve as an executive producer on the show. His book, Carson the Magnificent: An Intimate Portrait, is to be published by Simon & Schuster, although its publication has been delayed several times.        
Mr. Zehme is known to have gained access to many of Carsons personal and professional associates. NBC said the mini-series would include details on Carsons personal life, going back to his childhood in Nebraska.        



 




","NBC Plans a Mini-Series on Life of Johnny Carson","Business Day","News"
566,"










As Dexter reaches its final episode on Showtime on Sunday night, the question is, will he go or will he go?        



That is, will the serial killer Dexter Morgan head off to happy retirement in Argentina with his family, or end up in some kind of hell, whether above or below ground? Does the man weve watched plunging long knives into helpless victims for eight seasons require punishment, no matter how charming and sometimes heroic hes been?        
The proper fate of the seemingly irredeemable hero is a hot topic in prime time right now, with Breaking Bad playing out a similar scenario in its fifth and final season, which ends on Sept. 29. Of course, history tells us that these accountings can be ambiguous: Tony Soprano frozen in his booth at the diner, Vic Mackey consigned to a desk job but reaching for his gun.        
Those finales (of The Sopranos and The Shield) suggested that dramatic values and the feelings of fans outweigh moral considerations when it comes to ending popular, long-running cable series, and that a good hero is hard to kill off, no matter how many people hes killed himself.        
The endgame has a different importance, though, in Dexter, a more stylized and fanciful show with an even more single-minded focus on its protagonists psyche. The question of Dexters fate was baked into the gothic premise: a psychopath trained by his adoptive father, a police officer, to be an honorable killer, dispatching only those who needed killing. And the shows mix of film noir and fairy tale seemed to leave open the possibility of redemption, and even a happy ending.        
The result is that, for at least two and perhaps three seasons, it has felt as if wed been in a long process of preparation for Sunday night, with story lines whose primary purpose was to push Dexter ever closer to an edge that kept receding as the shows ratings remained strong by premium-cable standards. (Seasons 7 and 8 have been the shows highest-rated, averaging 2.1 million to 2.2 million viewers.)        
It has been a frustrating ride for those of us who loved the shows early seasons, when it achieved an unusually happy balance of interesting long arc (Dexters progress toward humanity and his intense relationship with his foster sister, the dedicated cop Deb) and snappy, short-term storytelling (his season-length battles with other serial killers and his dealings with his droll colleagues in the homicide squad of the Miami police).        
In addition to gore, suspense and heartbreak  including the authentically shocking murder of Dexters wife at the end of Season 4  Dexter was also marked by its easygoing, sunny vibe and its undercurrent of jabbing workplace humor. As the rest of the cable drama landscape grew increasingly grim and heavy-handed, it was a welcome respite, like picking up a fast and punchy Charles Willeford  novel (Miami Blues, say) after slogging through a well-reviewed pretentious literary mystery.        
Even as the story has lost some of its steam in recent seasons, its been worth staying around because of the cast, beginning with Michael C. Hall and Jennifer Carpenter, as Dexter and Deb, and including excellent supporting performances by David Zayas, C. S. Lee and Desmond Harrington, as cops who never quite figure out that their blood-spatter analyst is murdering people under their noses.        
Ms. Carpenter, the fire to Mr. Halls ice in the shows central relationship, has suffered the most from the need to keep the show going: last season, Deb killed an innocent (a superior officer, no less) to protect her foster brother, and has since been an uneasy partner in his plots. Its a development that has strained credulity, even in the hothouse context of Dexter, and the waters were further muddied by her admission to a therapist that she was attracted to her brother. It probably would have been better if none of these things had happened, which is to say that it would have been better if the show had wrapped up by Season 5 or 6.        
But here we are in Season 8, and the good news is that the pace has picked up recently, as youd expect. The Icelandic actor Darri Ingolfsson, stepping into the shoes of past guest stars like John Lithgow and Jimmy Smits, has made the Dexter doppelgnger Oliver Saxon a chilling, worthy adversary. Viewers who are up-to-date (spoiler ahead) will know that Dexters decision to walk away from a kill  readying himself mentally for that idyllic new life in Argentina  has had potentially tragic results.        
Ill admit here that Ive seen the finale and know the answers to my initial questions. I wont give anything away, except that I expect that it will be controversial  prepare for a Twitter storm around 9:45 p.m. on Sunday  and that while I didnt buy everything in the episode, I bought the ending. You may or may not think that Dexters final resting place is the one he deserves. But it works.        



 



","Bad Guy as Hero: Happy Ending? ","Arts","News"
567,"




FRANKFURT  Even though the Federal Reserve has decided to maintain its economic stimulus for now, the recent behavior of global financial markets and national economies shows just how tricky it will be for the world to adjust to life without central bank painkillers.         
The mere prospect of a gradual decline in Fed bond purchases in the United States pushed up borrowing rates in Europe in recent months, even as the European Central Bank was trying to tamp them down with its own limited set of remedies.        
But whether in the United States, Europe, or elsewhere, the big doses of monetary stimulus of the sort the Fed has been administering since the global financial crisis erupted five years can go only so far in healing sick economies.        
The withdrawal symptoms as markets have anticipated a Fed tapering of the dosage include the fluctuations in currency values over the summer that added a new element of uncertainty for multinational companies. And an investor exodus from developing countries threatened to undercut the buying power of some of Europes most important customers.        
Although European stocks rose Thursday and market rates for government bonds declined after the Fed said it would continue dispensing its stimulus at full strength a bit longer, those movements were very likely only a temporary reprieve from disruptive forces largely outside Europes control.        
This is a deferral, its not a cancellation, said Carl Weinberg, chief economist at High Frequency Economics in Valhalla, New York. Higher rates are coming.        
Now the question is what, if anything, policy makers outside the United States will do about it. In Europe, at least, the early indications are: not much.        
European leaders are still too preoccupied with their own domestic political problems to act more aggressively to stimulate demand and promote job growth for the euro zone. They are too fractured and factionalized to take the actions that are beyond the scope of the monetary policies of the European Central Bank, like spending on common infrastructure or other joint projects that might help put people and companies back to work. And they seem to have run out of energy for further overhauls of the flawed architecture of the currency union, including continued aggressive action to fix Europes troubled banks.        
In Germany, the euro zones wealthiest country, Chancellor Angela Merkel may be constrained even after elections on Sunday are behind her. That is because, even though her Christian Democrats are likely to retain power, polls on Thursday showed that Alternative for Germany, a right-wing party that wants to dissolve the euro, will probably get enough votes to win seats in Parliament.        
Meanwhile, Italy, which still has one of Europes biggest economies despite its debt problems, is once again preoccupied with Silvio Berlusconi, the former prime minister. Despite his legal perils, Mr. Berlusconi still has the political clout to disrupt the stability of the Italian government.        
Marco Tronchetti Provera, chairman of the Italian tire maker Pirelli, said by telephone that Europeans needed a clear signal that things were getting better so that they would be willing to start spending again. Without a project to regain confidence, its difficult to predict a strong recovery, he said.        
But he was pessimistic about the ability of European leaders to act. What we need is a simpler and more effective euro, which means stronger integration with bureaucratic simplification, Mr. Provera said. The decision-making process in Europe is too complex.        
The European economy has emerged from a recession that lasted a year and a half. But the growth has little momentum of its own and remains dependent on demand from abroad, including the United States and developing countries like China and Brazil. As a result, the euro zone is acutely sensitive to policy made in Washington, over which it has little influence.        



 1  2 Next Page  




","No Quick Fix When Stimulus Ends","Business Day","News"
568,"










BERLIN  Germanys race for Parliament tightened Thursday, three days before elections, with fresh polls underlining the difficulty that even the popular chancellor, Angela Merkel, faces in building a winning coalition.        



Ms. Merkels Social Democratic challenger, Peer Steinbrck, a classic center-leftist who has deep experience in Germanys state and federal governments, urged his party to make the most of what it says is collapsing support for the chancellor and her Christian Democrats.        
In three days, you can be rid of them! Mr. Steinbrck told a crowd gathered in Alexanderplatz, in the heart of former East Berlin, accusing the Merkel-led coalition of being the most quarrelsome, useless and backward-looking government in modern German history.        
The chancellor herself, Mr. Steinbrck charged, has given no direction in the past four years. Instead, she prefers to drive around in circles, like a caged tiger at the Berlin Zoo, he added.        
Two polls published Thursday showed that Ms. Merkels coalition had a narrow lead ahead of Sundays vote.        
According to a telephone survey for the public television network ZDF, the chancellors center-right party is backed by 40 percent of voters, while its partners, the business-minded Free Democrats, are supported by 6 percent. The center-left Social Democrats earned the backing of 27 percent of voters, while their preferred partners, the Greens, earned 9 percent. The poll surveyed 1,369 voters on Tuesday and Wednesday and has a margin of sampling error of plus or minus three percentage points.        
Another survey conducted by Insa for the newspaper Bild-Zeitung showed that Ms. Merkels party had the support of 38 percent of voters, and the Free Democrats had the backing of 6 percent. Support for the Social Democrats and Greens was consistent with the ZDF poll, at 28 percent and 8 percent, respectively. Alternative for Germany, which rejects the euro, garnered 5 percent, compared with 4 percent in the ZDF survey; passing the 5 percent threshold would make it a surprise entry into Parliament. The poll surveyed 2,248 voters by telephone from Sunday to Wednesday and has a margin of sampling error of plus or minus three percentage points.        
Both major parties, insisting that Germanys future is firmly in Europe, have ruled out a coalition with Alternative for Germany. If the anti-euro party does get into Parliament, it could reduce the number of seats Ms. Merkels coalition receives, forcing her to forge a so-called grand coalition with the Social Democrats.        
That would match the coalition that governed in her first term, when Mr. Steinbrck was finance minister and the pair together guided Germany through the 2008 financial crisis. And it would potentially make Mr. Steinbrck a major player in the next phase of Germanys leadership, whether his party wins or not.        
Mr. Steinbrck, 66, has said that he will not be part of another grand coalition. But it is increasingly clear that he would like to be part of negotiating whatever program the two big parties can thrash out.        
The uncertainty of the outcome means that the European Union, which has been holding its breath as the German vote nears, is likely to wait a few more months before learning where Berlin would like to guide the troubled Continent.        
Mr. Steinbrck, a bright but sometimes blustering politician, was regarded as a strong alternative to Ms. Merkel, 59, when he declared his candidacy a year ago. Almost immediately, however, he started to stumble, first over disclosures that he had received $1.7 million for speeches and writings, then over whether politicians were paid enough, and next over a suggestion that he would never buy cheap wine.        
His party, which is still divided over a legacy of labor and welfare overhauls that it initiated when last in power under Ms. Merkels predecessor, Gerhard Schrder, was slow to get its campaign rolling. Even as late as July, Mr. Steinbrck seemed a somewhat reluctant slogger on the trail.        
Since his lone television debate with Ms. Merkel on Sept. 1, from which he emerged looking as if he could be chancellor, Mr. Steinbrck has taken to campaigning with zest. In a format that is unusual for German election campaigns, which tend to be scripted and repetitive, he has hit the road with a strategy called plain talk, in which citizens sit around him as he fields their written questions  filtered through a moderator but not obviously prepared.        
Mr. Steinbrck, who once governed Germanys most populous state, North Rhine-Westphalia, has one of the readier wits on the campaign trail. Ill start off answering your questions, and then I think its a 120-minute election speech, and I will read it to make it even more boring, he said as he took the stage one evening in Munich last week, with barely 1,500 supporters shivering through his presentation.        
He has regularly accused the news media of writing his political obituary in advance, reminding a television interviewer on Aug. 30 that in soccer, a national passion here, its not a matter of the first 20 minutes, but of the last 10 as to who wins. I am amazed at how many people in your profession have already written their ready commentaries, he added.        
Mr. Steinbrck became a national topic of conversation last weekend when the magazine of the newspaper Sddeutsche Zeitung showed him giving his middle finger in reaction to an interviewer who had asked him to respond to unkind nicknames attached to him during the campaign. The photo was from late July, when Mr. Steinbrck was far behind the chancellor in personal popularity polls. He still trails, but by less.        
Many Germans say that even if they do not share Ms. Merkels center-right politics, they believe that she has done a good job of guiding the nation to relative prosperity in Europe, handling the euro crisis and reducing unemployment.        
Her party, which in the last two elections saw its support drop just ahead of the actual vote, has made Ms. Merkel the center of its campaign.        
Since her Free Democratic partners made a poor showing in Bavarian state elections last Sunday, she has appealed directly to voters, appearing on national television late Wednesday to urge people to cast both their votes  for district candidates and party lists  for her and the Christian Democrats. That, she is telling Germans, is the only way to guarantee she stays in charge.        



 
This article has been revised to reflect the following correction:Correction: September 19, 2013An earlier version of this article misquoted remarks by Peer Steinbrck to an audience in Munich last week. He said, jokingly, that he would give a 120-minute election speech, not a 20-minute election speech.



","As German Vote Nears, No Guarantees for Merkels Coalition","World","News"
569,"










WASHINGTON  The Obama administration on Thursday expanded its effort to curtail severe penalties for low-level federal drug offenses, ordering prosecutors to refile charges against defendants in pending cases and strip out any references to specific quantities of illicit substances that would trigger mandatory minimum sentencing laws.        



The move, announced by Attorney General Eric H. Holder Jr. at a speech before the annual conference of the Congressional Black Caucus, builds on a major policy change he unveiled last month to avoid mandatory minimum sentencing laws in future low-level cases.        
By reserving the most severe prison terms for serious, high-level, or violent drug traffickers or kingpins, we can better enhance public safety, Mr. Holder said. We can increase our focus on proven strategies for deterrence and rehabilitation. And we can do so while making our expenditures smarter and more productive.        
The policy applies to defendants who meet four criteria: their offense did not involve violence, the use of a weapon, or selling drugs to minors; they are not leaders of a criminal organization; they have no significant ties to large-scale gangs or drug trafficking organizations; and they have no significant criminal histories.        
On Thursday, the Justice Department ordered prosecutors to apply the new policy retroactively to defendants who are already in the system but have not yet been sentenced. It was not immediately clear how many pending federal drug cases would be affected.        
In cases where a defendant has been charged but guilt has not yet been determined, prosecutors will be directed to file replacement criminal complaints to eliminate references to specific quantities of drugs that would trigger a mandatory minimum sentence were the defendant to be convicted, according to a three-page Justice Department memorandum from Mr. Holder to federal prosecutors.        
Mr. Holders memorandum says that for cases in which a defendant has already been found guilty but no sentence has yet been imposed, prosecutors have discretion about whether to apply the new policy.        
They are encouraged to apply the policy in guilty-plea cases where legally and practically feasible, he wrote, but they should generally not seek relief for a defendant who chose to go to trial. The memo portrays the policy as an exercise of prosecutorial discretion and directs Justice Department officials to fight any motion by a convicted but not yet sentenced defendant to seek relief without the governments consent on the basis of the new policy.        
The memo also says prosecutors should not disturb the sentence in a case in which sentence has been imposed.        
The Justice Department policy follows efforts pioneered in states including conservative-leaning Texas and South Carolina to control soaring taxpayer money that is spent to incarcerate huge numbers of nonviolent offenders. Still, those changes were approved by state legislatures. By contrast, the Obama administration is undertaking its move without waiting to see whether Congress will approve legislation to restore greater leeway to judges in sentencing.        
The wave of change comes as crime has plummeted to the lowest level in four decades, leading to a bipartisan pendulum swing against the tough-on-crime policies imposed a generation ago amid the crack cocaine epidemic. Those policies resulted in an 800 percent increase in the number of prisoners in the United States at a time when the national population grew by only a third.        
Mr. Holder has repeatedly criticized the moral impact of the nations high incarceration rate, emphasizing that while the United States has only 5 percent of the worlds population, it has 25 percent of its prisoners.        



 



","U.S. Orders More Steps to Curb Stiff Drug Sentences","U.S.","News"
570,"










WASHINGTON  A company that conducted a background check of Edward J. Snowden, the government contractor who leaked national security secrets, said on Thursday that it had also run a check on the former Navy reservist who killed 12 people at the Washington Navy Yard on Monday.        



USIS, once known as US Investigations Services, said thatit conducted the check on the reservist, Aaron Alexis, in 2007; Mr. Alexis joined the Navy that year. The company said in a statement that it could not disclose the reason for the check or the results because we are contractually prohibited from retaining case information gathered as part of the background checks.        
Mr. Alexis had a clearance that allowed him to get an access card needed to get on the Navy base.        
The company also said that in 2011, it performed a periodic reinvestigation of the clearance for Mr. Snowden, who is now wanted by the United States for leaking details of the National Security Agencys surveillance programs. The Office of Personnel Management has been investigating the company since late 2011, Michelle B. Schmitz, assistant inspector general for investigations, said at a Senate hearing in June.        
The disclosures came as the director of the F.B.I., James B. Comey, said that Mr. Alexis was hunting people to shoot as he made his way through the building but did not appear to have targeted a particular person or group of people.        
He emerged from the bathroom a few minutes after 8 with the shotgun and proceeded to almost immediately, after coming out of the bathroom, to shoot folks on the fourth floor in a way with no discernible pattern, Mr. Comey said Thursday. And, it appears to me he was wandering the halls and hunting people to shoot.        
Mr. Comey, who spoke at F.B.I. headquarters here, said that Mr. Alexis drove into the navy yard around 8 a.m. on Monday and went right to a bathroom on the fourth floor, carrying a bag.        
Moments later, Mr. Alexis exited with the shotgun. Although the butt and the barrel of the gun had been partly sawed off, Mr. Comey said he did not know whether Mr. Alexis had the shotgun in the bag or had previously hidden it in the bathroom.        
Despite previous accounts from law enforcement officials that Mr. Alexis fired down on people sitting in an atrium on the third floor of the building, Mr. Comey said there was no evidence that he had done that.        
He added, He shot folks on the fourth floor, the third floor and then went down to the lobby and shot a security guard.        
After shooting the guard, Mr. Alexis took the guards handgun and headed back upstairs, where he continued to shoot people with the shotgun, Mr. Comey said. Mr. Alexis, who kept some ammunition in a pocket of his cargo pants, began using the handgun after he had used all of the shotguns ammunition.        
Mr. Comey said that people from different backgrounds and parts of the building were shot, leading him and investigators to believe that Mr. Alexis might not have been targeting a particular person or group, like co-workers.        
About a half-hour after Mr. Alexis started shooting, a heavily armed team from several agencies arrived, Mr. Comey said. A sustained exchange of gunfire followed, and Mr. Alexis was killed.        



 
Emmarie Huetteman contributed reporting. 
 



","Same Firm Did Checks on Snowden and Gunman","U.S.","News"
571,"










PISCATAWAY, N.J.  Two years ago, Paul James could not get a single Division I football program to notice him. He spent college signing day in 2011 sitting in class at Glassboro High School, in South Jersey. His coaches worked the phones furiously, hoping for a late break. The fax machine stayed silent.        



It really hit me, James said. Like, Wow, I have nothing going for me.        
More than four dozen other prospects from New Jersey, including running back Savon Huggins, signed letters of intent that day, a glut of talent that Rutgers helped corral.        
To James, Rutgers officials offered this: show up on June 25, and we will give you a walk-on spot. Since then, James has replaced Huggins as the Scarlet Knights starting running back, and after three astonishing games, he leads the Football Bowl Subdivision with 493 rushing yards, an average of 8.1 yards per carry.        
When Rutgers (2-1) hosts Arkansas at High Point Solutions Stadium on Saturday, James will receive the bulk of the carries. But he is not the teams only contributing walk-on. Michael Burton, a fullback, will be blocking for him, in what Rutgers believes to be the only nonscholarship starting backfield for a major college in the country.        
They are the no-star tandem, an improbable twosome in an era when recruiters nets are cast wider and wider. An overlooked talent will occasionally amble onto a roster and emerge as a sensation, as Dominique Whaley did at Oklahoma not long ago, when he arrived as if borne from a cloud of dust.        
But in New Jersey?        
It just shows what we overcame, James said. We both came in as walk-ons, and it shows how strong we are to get to this point and how hard we have to work to keep it as is.        
Burton grew up in Long Valley, N.J., as a die-hard Rutgers fan, attending summer camps on campus as a high school junior and senior. But Burton, who was an oversize, 220-pound running back, said colleges seemed hesitant. He said he had offers from lower-tier programs like Towson, New Hampshire and Maine but only marginal recruiting interest from his top choice, Rutgers. Instead, like James, he was extended a lukewarm invitation: come to practice, and see if you can stick.        
There are never any guarantees in life; you have to prove yourself every single day, Burton, a redshirt junior, said. I use that as motivation.        
James and Burton were so-called preferred walk-ons, prospects whom the coaching staff noticed and liked but did not offer scholarships. It is not the lowest rung on the college sports ladder, but the ground is mighty close.        
Burton and James began as practice pawns and members of the scout team, often lining up against the first-team defense and mimicking what another team might run. They were in the dredges of the teams depth chart. But eventually the coaching staff took notice.        
We dont really talk about being walk-ons, Burton said. Were out there trying to win games.        
How did so many programs miss the speedy James, who has six touchdowns in three games?        
Different players end up in different situations for different reasons, Rutgers Coach Kyle Flood said. From what I understand, he had some injury issues his senior year of high school. I think when coaches see that, they are probably less likely to invest a scholarship at that point in a player.        
James sustained a high-ankle sprain in the third quarter of the first game of his senior year, after rushing for 1,730 yards for tiny Glassboro as a junior. That fall, colleges had begun to show interest  Tulane, Marshall, East Carolina, Temple and even Penn State, Jamess top choice.        
But the ankle injury the next season halted his momentum. He missed two games and then began losing playing time to Corey Clement, a talented junior who wound up committing to Wisconsin. Jamess recruitment fell off.        
As his senior year kind of ticked away, a lot of those other schools wound up kind of falling off, Greg Maccarone, the Glassboro offensive coordinator, said.        
Two lower-tier colleges, Delaware and James Madison, remained interested in James as a defensive player, and Marshall and East Carolina gave him offers that quickly expired. He hedged, and both scholarships were filled.        
So James waited until he could not wait any longer. He began calling colleges and sending tapes, mining for a glimmer of interest. He visited the team closest to home, Temple, as well as Rutgers that May. Greg Schiano, then the coach of the Scarlet Knights, told him he could show up in June and have a roster spot, but nothing else was guaranteed.        
I could either look at it as an insult or an opportunity to grab, James said. I could get in here and work my way up the food chain and get to where we want to be.        
If it all sounds a bit like the movie Rudy, James said the thought had entered his mind, too.        
If youre a walk-on, if you dont have a scholarship, if you werent highly recruited, thats how people look at you: theyll doubt you, James said. You just cant let that get to you.        



 



","A Rutgers Walk-On Rushes to the Top","Sports","News"
578,"










Madison Bumgarner and the Giants felt right at home during the first leg of an extended stay in New York.        



Bumgarner struck out 10 in seven innings of four-hit ball, outpitching Jon Niese to lead San Francisco over the Mets, 2-1, on Thursday.        
Juan Perez went 3 for 3, with a run-scoring single, in his hometown, and San Francisco, last seasons World Series champion, won for the eighth time in 11 games. After taking two of three from the Mets, the Giants will not even change hotels  they remain in New York this weekend to play three interleague games at Yankee Stadium.        
Plenty of San Francisco fans visited Citi Field all series, and the Giants received a loud ovation as they walked off after the final out.        
Its nice to have a good fan base like that, Bumgarner said. Especially this far away.        
Bumgarner (13-9), who needs one more strikeout to reach 200 in a season for the first time, had the 13th game of his career with double-digit strikeouts.        
Niese (7-8) pitched seven solid innings for the Mets, who rallied for four runs in the ninth to win, 5-4, on Wednesday night. They batted .184 while going 4-7 on their penultimate homestand.        
I established all of my pitches, threw them all for strikes, got my cutter working on both sides of the plate, Niese said.        
Josh Satin had a leadoff double in the fourth for the Mets first hit. He scored on Daniel Murphys single, but Bumgarner avoided further damage.        
The Mets begin their final trip Friday in Philadelphia. Third baseman David Wright is expected back after missing seven weeks with a hamstring injury.        



 



","Bumgarner Outduels Niese to Top Mets ","Sports","News"
579,"










Displays of antique miniature portraits can serve as giant diagrams of connections among families, their fortunes and the artists who painted the works. Sometimes theres a whiff of scandal.        



Wall captions and apps in an exhibition gallery can explain how the rosy faces in jeweled frames reveal that this person slept with this person, this person was related to this person, this person was the enemy of this person, Cory Korkow, a curator at the Cleveland Museum of Art, said in a phone interview.        
This fall, the museum is bringing out about 170 British portrait miniatures that have largely been in storage since the 1950s. The show is among several exhibitions of images painted on bits of ivory, vellum, enamel and paper that are planned or under way in the United States and Britain.        
Its a bumper time for miniatures, Jo Langston, a Christies specialist, said in a phone interview.        
On Nov. 20, Christies in London is to auction about 230 miniatures (with estimates from $1,600 to $800,000 each) that T. S. Eliots widow, Valerie, hung in a London apartment with peppermint green walls. Depictions of George IVs daughter, Charlotte, and his brother Fredericks coquettish girlfriend, the Countess of Tyrconnel, were kept in odd proximity.        
Given the complicated back stories, Ms. Langston said, its impossible not to get distracted when youre doing research on miniatures.        
Next Friday, two dozen miniatures will go on view in Beautys Legacy: Gilded Age Portraits in America, at the New-York Historical Society. They belonged to Peter Mari, a 19th-century Manhattan shipping tycoon of French-Caribbean descent. Around 1890, he inexplicably began commissioning and exhibiting hundreds of images of his eras wealthiest beauties.        
Mr. Mari never married, nor is he known to have had any serious romantic relationships.        
He represented a modern version of the chivalrous courtier, whose love for women was in the abstract and never consummated, the curator Barbara Dayer Gallati writes in the shows catalog, to be published this fall by Giles.        
On one oval in the Gilded Age show, Mrs. Bradley Martin, an extravagant society hostess, is dressed as Mary, Queen of Scots. Mrs. Armstrong Chanler, a novelist who became a morphine addict, is depicted wearing a bohemian rumpled cape. Amy Bend, shown in a simple blue gown and no jewelry, spent much of her life blighted by vanity and fear of losing her beauty, Ms. Gallati writes.        
The artists biographies are fraught, too. Katherine Arthur Behenna, who painted the Chanler image, had delusions that a spirit named Helios was guiding her. She died in 1924, when she was roughly 64, after apparently poisoning herself with Chinese hair dye.        
Tumultuous lives are also documented in a new book, Miniatures From the Time of Marie Antoinette in the Tansey Collection (Hirmer/University of Chicago Press). It reproduces about 170 works from a German museum collection, along with thumbnail biographies of patrons and artists who squandered fortunes and fled regime changes and creditors.        
One impoverished French painter, Nicolas Hall, persuaded a client, a German heiress named Barbe Rommel, to marry him. In the Tansey catalog, the historian Bernd Pappe writes that soon after the wedding, her husband gambled her money away, maintained an affair with a dancer at her expense and even attacked her physically.        
Caddish miniaturists like Hall, whose divorce proceedings were widely published, left paper trails. But more reputable characters, like the 17th-century British artist Samuel Cooper, are frustratingly elusive.        
I want to strangle the man  he left very, very little, Emma Rutherford, the curator of Warts and All: The Portrait Miniatures of Samuel Cooper, which opens on Nov. 13 at the Philip Mould Gallery in London, said in an interview.        
Samuel Pepys described Cooper as the great limner in little. Coopers colleagues respected him, too; he was brought in to paint Van Dycks steely mistress Margaret Lemon, who posed as a male cavalier. When Van Dyck married someone else, she is said to have tried to bite off his thumb.        
The Cleveland show contains Coopers unfinished portrait of the philosopher Thomas Hobbes. It is rumored to have once belonged to the Duke of Devonshire, and Charles II owned a finished version that is now believed to be lost.        
The catalog from the show discusses the fields unanswered questions and gives detailed provenance notes that make recent prices for miniatures easy to find online. A 1660s image of the Virgin Mary and Child, by an obscure artist named Anna Maria Carew, went for around $4,600 in 2008 at Sothebys in London. In 2005, a pair of 1780s portraits of a couple, with the wife shown wearing her husbands miniature as a pendant on a pearl strand, sold for around $6,700 at Christies in London.        
Recounting researchers discoveries about the sitters and past owners can help increase the appeal of the little paintings and counter the notion that they are cute or stuffy.        
Sometimes their provocative and mysterious qualities get obscured by their preciousness, Ms. Korkow said.        
Elle Shushan, a miniatures dealer in Philadelphia who helped the Cleveland museum assemble its collection, will be taking part in a Private Art Dealers Association show at 13 East 69th Street in Manhattan, from Nov. 1 through 16. She is bringing the prolific itinerant artist Anson Dickinsons 1807 portrait of Susan Bayard Rogers, a Manhattan arts patron who commissioned mahogany furniture from Duncan Phyfe.        
She was a visionary, Ms. Shushan said in an interview. Mrs. Rogers died in 1814 at the age of 36, leaving behind four small children, while en route to France for a rest cure for an unknown ailment.        
 CRAVING SPACE FOOD 
Leftovers from Apollo space mission meals are enticing collectors at sales of astronaut memorabilia.        
In March, dehydrated potato soup from Apollo 13 sold for $8,125 at Bonhams in New York. In April, unopened packages of Apollo 17 brownies, fruit salad, peaches and bread cubes brought up to $4,100 each at Heritage Auctions in Dallas.        
On Oct. 3, Regency-Superior auctioneers in Los Angeles plan to offer 1960s and 70s NASA packages of rye bread and an orange drink (estimated at $200 to $400 each). Zipper still operates nicely, the catalog notes of one pouch.        
Buyers are drawn to the colorful three-dimensional evidence of the variety of food that was available in orbit, despite the lack of gravity and hot water, and the inventive engineering of the containers.        
One of the big no-nos was to have crumbs floating around, Cassandra Hatton, a Bonhams specialist, said in an interview.        



 



","Portrait Miniatures Flow Out of the Attic","Arts","News"
