,content,headline,section_name,type_of_material
587,"










Dont go looking for fancy Italian at Osteria Cucina Rustica in Marlboro. Despite the imposing facade of this restaurant in a former bank, the fare is indeed rustic, as the name suggests. Flavors are simple.        



Quality is high, and most everything is made in-house. Much of what I sampled on two visits was well prepared  a main dish of risotto with delicate and juicy grilled shrimp, each grain separate and slightly al dente; exquisite branzino fillets, perfectly pan-seared and seasoned with butter, shallots, white wine, lemon and a sprinkle of capers, laid over a bed of beluga lentils; hearty hanger steak that was tender and delicious enough to continue eating past satiety.        
Service is old-school indulgent. We were led to our tables by young women; all the waiters were attentive men in lab-style white coats who paid attention to water and wine and apologized when the main courses took too long to arrive.        
Prices for such service, food quality and attention to detail are not cheap, but they are fair. Others seem to agree, since there was a robust-size crowd there both nights: On my first visit, a weekend, several diners accompanied by women and children displayed full sleeve tattoos; on a weeknight, though there were a few women and couples, it seemed more like a businessmens club.        
The ambience is mixed. Wide plank floors, salvaged from old barns around the country, with exposed beams above, say down-home; the high ceilings and the sleek white tiles seen in the partly open kitchen behind glass suggest sophistication. The space is also inordinately loud, and the air-conditioning was so cold on both visits that I contemplated using the elegantly large napkin as a shawl.        
The owners, Angelo Bongiovanni, who acts as host, and Steven Botta, the chef, opened the restaurant in mid-July; they are also partners in Brandos, an Italian restaurant in Asbury Park, Mr. Bongiovanni said in a phone interview.        
It is clear that they care about the food. A trio of amusements  roasted garlic in olive oil; herbed ricotta; and pickled zucchini  arrived alongside a basket of warm bread, and were tasty with the addition of a bit of salt.        
Among the appetizers, the fritto misto, which was mostly calamari with a cameo of shrimp and scallops, was nicely done, the fried batter enhancing rather than distracting from the seafood; the inclusion of caper berries, their stems on, tucked into the seafood was a witty touch. Burrata, a special with prosciutto one night, was diminished only slightly by its cool temperature; the polenta with shaved black truffle was agreeably hot, but too much pecorino Romano masked the flavor of corn.        
Of the three salads, the Caesar, with its romaine hearts and ciabatta croutons, was best; ingredients in the Toscana  chopped greens, red onion, tomato, cucumber, sliced almonds and dried cherries  stubbornly resisted melding, and the finocchio, a combination of fennel with Parmigiano-Reggiano, toasted pine nuts and sliced orange, lacked flavor.        
A special appetizer of figs stuffed with Maytag blue cheese and roasted garlic, then wrapped in prosciutto and set atop small ovals of cool watermelon, was a terrific idea, but with every bite, I wished that the prosciutto had not been broiled to brown but left pink and luscious.        
Among the pastas, the Bolognese sauce was well flavored and balanced, but the pasta served with it, pacheri (imagine very fat, unwieldy rigatoni) left us wondering how to eat it, since we certainly couldnt twirl it around a fork. Farfalle with Swiss chard, Gaeta olives and toasted breadcrumbs was flavorless  hard to fathom with such assertive ingredients.        
As for the secondi, that stellar branzino, risotto with shrimp, and Barolo-glazed hanger steak faced competition from the pollo scarpariello. The pan-sauted chicken pieces with sausage and lemon were served with just enough potato pieces to mash into the juices.        
Vegetables were uninspired, except for the mashed potatoes and intensely flavorful cherry tomatoes served with the hanger steak. Sauted broccoli rabe was exceedingly mild, to the point of boredom. And I had hoped the Swiss chard with fava bean pure would be a riff on the Italian beans-and-greens stew, but no. It was a portion of greens with a scoop of greenish-gray matter on top. Yes, that was the beans, and they tasted O.K., but the dish needed a do-over.        
Of the typical Italian desserts, we liked the zabaglione and the affogato (vanilla ice cream topped with espresso); of the atypical, the warm chocolate cake with a small scoop of ice cream was memorable enough to put on my list for the next time Im in the neighborhood  after a Caesar salad and that branzino over lentils.        
        
Osteria Cucina Rustica 
91 South Main StreetMarlboro(732) 577-8288        
GOOD 
THE SPACE A mix of down-home and elegant, with reclaimed barn-wood flooring and grottolike arches as well as television sets tuned to soccer and baseball at the bar. About 120 seats inside, in addition to a 12-seat private dining room. There are 58 seats on the seasonal patio. Wheelchair accessible. Restrooms are labeled in Italian: uomini for men, donne for women.        
THE CROWD Noisy and eclectic, including children on my visits. Servers are efficient.        
THE BAR  List of about 100 wines, mostly from Tuscany and California, with bottles from $26 to $450, and 25 by the glass, from $8 to $15. Italian and domestic beers in bottles, $5.        
THE BILL Lunch items, $14 to $22. On the dinner menu, antipasti are $12 to $18; pizzas, $12 to $19; pastas, $16 to $24; and main dishes, $24 to $42; in addition, 35-day dry-aged specialty steaks from Pat LaFrieda range from $60 for a porterhouse serving one to $95 for a porterhouse serving two. MasterCard, Visa, American Express, Discover and Diners Club cards accepted.        
WHAT WE LIKED Fritto misto; burrata; Caesar salad; pacheri Bolognese; fig with watermelon, blue cheese and prosciutto; shrimp and risotto; branzino over beluga lentils; hanger steak with mashed potato; pollo scarpariello; zabaglione; affogato; chocolate cake.        
IF YOU GO Lunch: Wednesday through Saturday, noon to 4 p.m.; dinner Sunday, 3 to 10 p.m., Monday through Thursday, 5 to 11 p.m.; Friday and Saturday, 5 p.m. to midnight. Plenty of parking in the shopping center lot. Reservations recommended.        
RATINGS Excellent, Very Good, Good, Fair, Poor.        



 



",If What You Fancy Is Simplicity,N.Y. / Region,Review
588,"













The last time we tasted mencas from Bierzo, Spain, my recipe included rosemary, the wines dominant herbal note. Consistency may be someone elses hobgoblin, but its nice to see it in wines; there was that rosemary again.        
Pairings often welcome contrasts, but this time I picked up the flavors and aromas of the wine and tossed them into the pan. Green peppers, a hit of chile, olives and a beefy smoke. All have been incorporated in this dish.        



 



",What to Eat With Bierzo Wines,Dining & Wine,News
589,"










Behind Closed Doors: Art in the Spanish American Home, 1492-1898, at the Brooklyn Museum, leaves us in the strange position of marveling at the opulence of domestic life in the Spanish colonies while pondering some of the ugliest aspects of colonialism. This is awkward, to be sure, but also enlightening.        



As its voyeuristic title suggests, the show follows the layout of a typical house belonging to an elite member of New World society. Drawn largely from the museums sizable collection of Spanish colonial art, it fashions a gorgeous set of temporary period rooms out of the fourth-floor special-exhibition galleries. They overflow with sumptuous textiles, family portraits bearing coats of arms, fine silver and porcelain and gilded everything  arranged in the more-is-more manner of the Spanish American upper crust, with cabinets stacked in pyramids and luxury goods laid out on carpeted platforms.        
All this conspicuous consumption was as strategic as it was materialistic. It was a way for newly wealthy Creoles (in this context, Spaniards born in the Americas) and people of indigenous ancestry  barred from important church and government positions because they were not born in Spain  to thumb their noses at the Spanish crown. Dignitaries from Spain who visited one of these homes would see potent reminders of the New Worlds natural resources.        
They would also, at times, see Spanish Americans asserting their own noble lineages, in genealogies or portraits of Inca royalty painted in a European style. One such painting, of 14 Inca kings, hangs at the exhibitions entrance next to Goyas 1806 painting of Don Tadeo Bravo de Rivero, a Peruvian who edged his way into Spains chivalric orders through military service. One of the few Creoles able to do so, he flaunts the cross and jeweled badge of the Spanish Order of Santiago.        
As these examples suggest, obsessions with race, bloodline and birthplace  some particular to the Spanish colonies, others more widespread  haunt Behind Closed Doors. Visitors are constantly confronted with family trees and other more or less hereditary claims to power. (Titles could be purchased, but the buyer first had to prove noble ancestry and a purity of blood  a phrase that effectively meant people of Jewish or Moorish descent need not apply.)        
Also on view are casta paintings that employ a rigid racial-classification system; one is called From Spanish and Indian, Mestizo, and shows a Spanish man and his indigenous wife with their mestizo, or mixed-race, baby. Here too are works that are not quite casta paintings but seem closely related, such as the group portrait Free Women of Color With Their Children and Servants in a Landscape by Agostino Brunias (an Italian working in the British colonies). The painting is not as progressive as it sounds; it reinforces colonial hierarchies of race and class by surrounding its fashionable young heroine  one of the free women of the title  with darker-skinned attendants who may well be her slaves.        
In some of the decorative artworks, at least, cultures mix and mingle freely and without the need for taxonomies. A highlight is a large folding screen that once graced the viceregal palace in Mexico City. One side shows battle scenes based on Dutch prints from the Great Turkish War; the other depicts a hunting party modeled on those in Gobelins tapestries. Both have been rendered by Mexican artists in a traditional shell-inlay technique known as enconchado, on an object  the six-paneled screen  long associated with Asia.        
And in various places throughout the show, the museums European Art curator, Richard Aste, juxtaposes Spanish colonial art and furniture with similar objects from the British colonies. In doing so, as he notes in the catalog, he is continuing a dialogue from a 1999 installation in the museums American Paintings galleries. (Viewers of Behind Closed Doors might also want to visit Interwoven Globe: The Worldwide Textile Trade, 1500-1800, which has a similar cross-colonial frisson, at the Metropolitan Museum of Art.)        
Its a lively one, especially when portraits go head to head: Miguel Cabreras stern 1760 painting of a wealthy Creole, Doa Mara de la Luz Padilla y Gmez de Cervantes, for instance, versus John Singleton Copleys steely 1772 depiction of Abigail Pickman Gardiner, married to the wealthy Boston landowner Sylvester Gardiner. Seeing them together lets you compare and contrast the fashion and beauty trends particular to their respective colonies; Doa Maras face is dotted with chiqueadores, or glued-on beauty marks, while Mrs. Gardiner wears a billowy costume  la turque of a salmon-colored robe over green harem pants.        
Behind Closed Doors offers an intimate look at the lives of colonial women. We come to know some of them, like Doa Mara, through their formal portraits; others, like the wealthy indigenous landowner Mara Angela Cachicatari, through private paintings and objects in their possession. A large and fascinating section of the show recreates the estrado, a parlorlike area of the home where women passed much of the day socializing, drinking yerba mat and doing needlework while sitting cross-legged on floor cushions.        
These glimpses of the good life  and enough decorative installations to fill many an interior designers inspiration board  are what we expect from a show on the homes of the wealthy. But in this exhibition, the severity of colonial subjugation is just as visible and, in the end, more affecting.        



 
Behind Closed Doors: Art in the Spanish American Home, 1492-1898 continues through Jan. 12 at the Brooklyn Museum, 200 Eastern Parkway, at Prospect Park; (718) 638-5000, brooklynmuseum.org. 
 



","In the New World, Trappings of a New Social Order",Arts,Review
590,"









 
To the Editor:        
Geoff Dyer tells us a lot about himself in his review of Norman Rushs Subtle Bodies (Sept. 8), but he misses the better half of the novel, the protagonists wife, Nina, who punctures the gathered mens pretensions, uncovers the books secrets and generally has the best lines. Maybe she was too witty for the ever-clever Dyer.        
TOM LeCLAIRCincinnatiThe writer is the Nathaniel Ropes professor of English at the University of Cincinnati. 



 




",Looking for Nina,Books,Letter
591,"










To the Editor:         
As one of those interviewed by Evan Mandery for his meticulously researched book, A Wild Justice, about the Supreme Courts capital punishment decisions, I am pleased that it received the praise it deserves from David Oshinsky (Sept. 1). But it is not the case that no source for the meeting ending in the agreement between Justices Stewart and White that led to the courts decision in the Furman case appears to exist. The verbatim private conversation between the justices is, of course, unknown, but there is no doubt the meeting was held, that Whites position shifted and he became the decisive fifth vote. By searching out the law clerks who worked closely with Stewart and White, Mandery did what no author before him (including Oshinsky and me) had dared. As a result, multiple sources in the chambers of both justices support on the record his version of what happened.        
MICHAEL MELTSNERBostonThe writer is the Matthews distinguished university professor of law at Northeastern University School of Law. He was one of the lawyers in Furman v. Georgia. 



 




",Reliable Sources,Books,Letter
592,"









 
To the Editor:        
I was surprised by Joyce Carol Oatess comment at the end of her review of The Childhood of Jesus (Sept. 1) that this isnt the Don Quixote of Cervantes but, in a perplexing Borgesian twist, the author is a man named Benengeli,  and that perhaps, one day, Elizabeth Costello will enlighten us. Considering that Cervantes presented his Don Quixote as the translation of a chronicle of true events written by one Cide Hamete Benengeli, this doesnt strike me as particularly perplexing, unless shes waiting for enlightenment about why J. M. Coetzee decided to make Cervantess narrative device the truth in the world of this book.        
KRISTEN ALLEN-VOGELDayton, Ohio        



 




",Untwisted,Books,Letter
593,"










To the Editor:         
In her essay (Articles of Faith, Sept. 1), Dara Horn is quite right in stating that in Judaism, faith itself is largely built on the concept of preserving memory. We celebrate the power of memory not just on Rosh Hashana, the Day of Remembrance, but on all the holidays  when we recall the Exodus from Egypt as well as the entrance of our ancestors into the Promised Land, the various harvests of the crops and even the creation of the world on the Sabbath. Moreover, four times a year we recall loved ones, gone but not forgotten, at the Yizkor (memorial) services. The founder of Hasidism, Israel Baal Shem Tov, observed: Forgetfulness leads to exile; remembering is the key to redemption. Undoubtedly, remembering has enabled the Jewish people to survive against all odds.        
(RABBI) GILBERT S. ROSENTHALNeedham, Mass.The writer is director of the National Council of Synagogues. 
        
To the Editor:        
Dara Horns clever meditation on Jewish memory, while a delight to read, leaves the impression that Jews are distinct in their piety to history. This is nonsense. Religious holidays mark alleged historical events from Easter to Ramadan as much as Jews stand again at Sinai. Such commemoration cuts both ways. Serbian nationalists evoke centuries-old battles against the Turks to justify hostilities against Muslims, and Protestants march in Northern Ireland to commemorate victories over Catholics. A variety of religious communities are urged not to forget in order to justify present political decisions. Jews today fret about the pogroms of Passovers past, but Orthodox West Bank settlers also reimagine Palestinians as enemies from the biblical Amalek to Nazis. Preserving memory  often through misremembering  can be as dangerous as it can be pious.        
ELLIOT RATZMANPhiladelphiaThe writer is an assistant professor of religion and Jewish studies at Temple University. 
        
To the Editor:        
Dara Horn calls the suggestion that the anxiety that attends Passover may be traced to the terror Jewish ancestors felt while preparing the Seder in a time of murderous pogroms a mystical and irrational belief in a type of memory no neurologist would recognize. But psychoanalysts are very well acquainted with the intergenerational transmission of trauma. The children and, we are now discovering, the grandchildren and great-grandchildren of Holocaust survivors are seriously wounded people. They can certainly heal, but scars always remain. I would not consider it mystical or irrational to hypothesize that centuries of serious Easter-linked trauma could still be sending out ripples not-that-many centuries later.        
BARBARA STEVENS SULLIVANBerkeley, Calif.        



 




",Memories,Books,Letter
594,"









 
To the Editor:        
Considering whether novelists are overly reluctant to write critical reviews of fellow novelists in the new Bookends column (Sept. 8), Adam Kirsch mentions, by way of contrast, the example of Virginia Woolfs work for The Times Literary Supplement, where, as he puts it, she specialized in harsh verdicts suavely delivered. He omits a crucial fact, however: Woolfs reviews were published anonymously, as was standard practice at the T.L.S. until the 1970s. The threat described by Kirsch, that a negative review can make an enemy for life, is not one that Virginia Woolf faced, and we can only be thankful that anonymity allowed her to give free rein to her keen critical intellect.        
BENJAMIN GEORGE FRIEDMANNew York        



 




",Whos Afraid?,Books,Letter
595,"










Fitzroy  



195 Chrystie Street, near Stanton Street, Lower East Side 
Through Oct. 20 
A few minutes into Laura Parness 70-minute horror movie, County Down, I thought, This is bad. The acting is wooden, the sets amateurish, the writing banal, the pace erratic. Moreover, Ms. Parnes used a digital program that turns photographic reality into a hallucinogenic cartoon, as Richard Linklater did in his brilliant films Waking Life and A Scanner Darkly. But in Ms. Parness case, the trippy effect comes off as crude and garish. The whole thing looks like it was made by an enterprising but not exceptionally talented high school student. Knowing it to be actually a sophisticated spoof made no difference. I wondered how I was going to get through an hour of it. After a while, however, it began to seem interestingly bad. Then it became mysteriously fascinating. I couldnt stop watching.        
The plot of what Ms. Parness Web site describes as a web-based episodic digital film is complicated. Set in a wealthy, gated community, County Down revolves around the invention and distribution of a psychedelic drug  delivered and consumed in nippled baby bottles  by a teenage girl named Angel. For unclear reasons, her parents and those of her friends are going insane. There are zombies, cannibalism and murder, including a matricidal decapitation. Its a blatantly ridiculous and yet weirdly compelling soap opera; Night of the Living Dead meets Pretty Little Liars.        
Serious-minded viewers might find in Ms. Parness film social commentary on addiction, consumerism, the media, adolescent angst, suburban ennui and so forth. Whatever. Mainly, its a hoot.        



 



",Laura Parnes: County Down,Arts,Review
596,"










Alexander and Bonin 



132 10th Avenue, near West 18th Street, Chelsea 
Through Oct. 12  
Distinctive enough to capture major attention, but too diverse to be readily branded, the German artist Michael Buthe had a substantial European career in the 1970s and 80s, but faded from view after his death at 50 in 1994. More recently, interest in him has been increasing abroad, and Alexander and Bonin, who represent a somewhat similar artist, Paul Thek, continue to be Mr. Buthes New York champions with a third solo show.        
Mr. Buthe, like Mr. Thek, was gay, Roman Catholic, and sought sources for art outside his own culture. He was well enough established in his 20s to be included in the legendary 1969 exhibition When Attitudes Become Forms. A year later he first visited Morocco and in 1972 spent nearly five months there in the beguiling seaside city of Essaouria. Its high-color buildings and cornucopian souks cast a spell that saturated his art, which moved from quasi-Minimalism to Orientalist-hippie environments to small, exuberant pictures that brought Sigmar Polke, a fellow art school student, as well as Paul Klee, to mind.        
Theres a nice suite of such work upstairs at Alexander and Bonin, though the main show consists primarily of three large pieces. The 1985 Landscape (Spanish Energy), a dense assemblage incorporating a pitchfork, brocade and the image of a staring eye, finds Mr. Buthe in a theatrical mode, while a pair of 15-foot-long abstract triptych paintings recall his minimalist roots.        
The two triptychs share a title, The Last Secret of Fatima, a reference to a reported appearance, in Portugal in 1917, of the Virgin Mary to three children, to whom she entrusted three secrets. Two were made public in the 1940s, and the third, after heated speculation, in 2000. Both pictures are composed of two monochromatic panels (blue in one painting, red in the other) covered with all-over patterns of tiny stars and joined by a third, vertical panel in silver and gold. The results suggest blank icons, Yayoi Kusama dot paintings with hinges, and stereoscopic views of intergalactic space. Theyre lovely. And as to secrets, the power of art (and religion) to let them stay secret is certainly one.        



 



",Michael Buthe: Secrets,Arts,Review
597,"










Canada 



333 Broome Street, between Bowery and Chrystie Street, Lower East Side 
Through Oct. 20 
Although heavy-handed in its symbolism, Joanna Malinowskas latest solo is a high-spirited exploration of the North American frontier and its uses and abuses by modernist artists.        
Mixing sculpture, video and performance, it makes clever, theatrical use of a space thats cavernous by Lower East Side standards. The main component is a six-ton pile of dirt trucked in from the Yukon Territory, which nods obliquely to works by Robert Smithson and Walter de Maria but is mainly a set for a performance. (Visit the gallery at the right time, and you might see Ms. Malinowska panning for gold.)        
Nearby is another set, this one derived from Isamu Noguchis austere designs for the Martha Graham/Aaron Copland ballet Appalachian Spring. Titled Bootleg Noguchi, Ms. Malinowskas version substitutes a crooked tree branch for the original productions rectilinear wood frame.        
On video, a Russian composer reads aloud from Allen Ginsbergs poem America, his strong accent and deadpan manner working against the ranting verse. This piece isnt subtle  and neither is the giant papier-mch bear, modeled on roadside monuments in the Yukon, that towers over the gallery  but both have a role to play in the Polish-born Ms. Malinowskas affectionate skewering of cold-war-era pioneer myths.        



 



",Joanna Malinowska: A Hawk From a Handsaw,Arts,Review
598,"










Maccarone 



630 Greenwich Street, at Morton Street, West Village 
 Through Oct. 19  
The protean Carol Bove continues to cultivate her extraordinary garden, operating in the gaps between art and design, modernism (especially Minimalism) and nature, language and structure, found and made, order and chaos, her work/art and other peoples work/art. One of the best artists of our peculiar moment, Ms. Bove started with appropriation sculptures consisting of shelves displaying worn, carefully chosen paperbacks on often arcane, metaphysical subjects. Here this opposition is manifest in a large sheet of glass suspended between I-beams and flanked by two columns of the gallery; it serves as an immense frame for a small Gordian knot of a painting, Design for the Qor Corporation, by the polymath artist and kabbalist Harry Smith. It is also implicit in the inclusion of a vitrine of eccentric geometric drawings by and from the archive of Lionel Ziprin and Joanne Ziprin, who formed the mystically inclined, geometry-obsessed Qor Corporation, also a tile business, with Mr. Smith.        
The grid is a living, growing thing in Ms. Boves universe. It is presented here as fragmentary and possibly mutating in a low-lying structure of small, perpendicular I-beams. It is definitely, elegantly mutating in Peels Foe, not a set animal, laminates a tone of sleep, two concrete blocks that form a seven-foot monolith, the upper one eaten away by a metastasizing grid of shiny brass. Her white tubular glyph sculptures, while all curves, imply infinite extension in their own way, while breathing new, gently irreverent life into generic public-art abstraction. The molecular, metabolic nature of the grid is signaled by the inclusion of a sculptural and mathematical feat from 1976 by Richard Berger: the top surface of his couch iterated in small lead pellets suspended from micro-filaments. It also seems implicit in the monumental piece of petrified tree trunk that Ms. Bove has attached (with only six bolts) to a tall I-beam, where it resembles a torso, a broken column and its former self.        
As if this werent enough, Ms. Bove and Philip Smith, a rare-book dealer, have organized a dense exhibition about the Qor Corporation in Maccarones project space at 98 Morton Street. It contains more drawings by Mr. Smith and the Ziprins and much more (studies and prototypes for tiles) in which geometry truly loses its mind and gains the universe.        
Meanwhile, the title of Ms. Boves show says a lot: RA, or Why is an orange like a bell? It flags her work as Relational Aesthetics at its most profound and inclusive and flippantly posits the unity of natural and artificial form with a riddle from Batmans foe, the Riddler. Answer: They both have to be peeled (or pealed). This show is endless.        



 



","Carol Bove: RA, or Why is an orange like a bell?",Arts,Review
599,"










Kansas 



59 Franklin Street, between Broadway and Lafayette Street, Lower Manhattan  
Through Oct. 19 
The Victorian pastime of flower pressing looks decidedly contemporary in Virginia Poundstones latest solo, which makes it difficult to separate nature and artifice, art and craft, and maybe even the quick and the dead.        
Here, crushed botanicals also link several mediums: digital photography, monochrome painting, and glass and bronze sculpture. In a series of wall-based works, for instance, Ms. Poundstone has printed images of floral bouquets on perforated vinyl and then sandwiched the fabric between glass, leaving many folds and creases that dont conform to our expectations of the botanical still-life.        
Even more confounding are the sculptures, small, nubby-looking bronzes with poured-glass accents. Identified as fossils, they are cast from plaster impressions of flower petals and rest on stacked-cardboard presses in lieu of traditional pedestals. The different materials, volumes, and sculptural techniques make you think about the structural complexity of a living blossom and the difficulty of preserving it.        
The paintings Gold Rush and High Roller, which cover small wooden panels with uniform arrangements of silky yellow petals, are the most conventional works here. Their titles, however, are suggestive; they bring to mind the 17th-century Dutch phenomenon of tulipmania, as well as more current forms of economic speculation. And they round out this sometimes cerebral show with a burst of color and texture thats intensely gratifying, however long it lasts.        



 



",Virginia Poundstone: Total Meltdown,Arts,Review
600,"










Thomas Erben Gallery 



526 West 26th Street, fourth floor, Chelsea 
Through Oct. 26 
Born in Tehran in 1982, Barbad Golshiri is part of a generation of young Iranian artists who, working primarily at home, are distancing themselves from the easy exoticisms that sell well abroad. At the same time, theyre trying to make art thats critically responsive to contemporary Iran, and to a political culture that opposes, on ideological grounds, much of what theyre doing.        
Mr. Golshiris tough, wiry second New York solo is made up of sculptural grave markers, most of them in the horizontal format of Muslim tombstones. At least one piece directly subverts the traditional model. Called Pentimento, its a flat rectangle of black iron pierced with a cluster of stakelike uprights and carries a heretical inscription: the customary Arabic invocation There is no God but Allah reduced to two words: no God.        
Other pieces are dedicated to political martyrs. One tombstone, incised with a labyrinth pattern, commemorates Ahmad Mir-Alaei, a translator of Jorge Luis Borges into Persian, who was killed in 1995 in the so-called chain murders of Iran, reputedly carried out by government agents, that wiped out dozens of dissident writers and intellectuals, many of them friends of the artists father, the novelist Houshang Golshiri (1938-2000).        
Another memorial, designed for a dissident who had been officially denied a tombstone, consists of a stencil-cut of a funerary inscription that can be temporarily but repeatedly applied to the site of the grave. The show, a collaboration with Aaran Art Gallery in Tehran, includes tributes to Western artists and writers (Jan van Eck, Samuel Beckett) Mr. Golshiri holds dear, as well as a marker for himself, which looks like a work in progress. Surely its existence is premature, but in the context of work about the politics of death, the message is: Be ready; you never know.        



 



",Barbad Golshiri: Curriculum Mortis,Arts,Review
601,"










Few wine notions are tossed around as frequently and as randomly as balance. Often its stated axiomatically, as in, Good wines must be balanced. Who can argue with that?        



Sometimes its used as a rationalization, as when speaking of ultrahigh alcohol wines: Alcohol is just a number. It doesnt matter, as long as the wine is balanced.        
I take issue with that statement. Alcohol manifests itself in many ways beyond a feeling of heat on the palate. It affects the texture, the body and, naturally, the physical effect of a wine. Balance is just a small part of that overall equation.        
Ive been thinking about balance since the wine panel not long ago tasted 20 bottles of red Bierzo, from Castilla y Len in northwestern Spain, just east of Galicia. Bierzo is one region that has helped usher in the exciting modern era of Spanish wines.        
The primary red grape, menca, can make wines ranging from light and pretty to dense and structured, yet always with beguiling, exotic aromas of wild red fruit. The style depends on the intent of the winemaker, of course, but also, importantly, on where the grapes were grown. Those on terraced slate hillsides, for example, tend to be more concentrated and complex than those from clay-based soils on the flatlands.        
We have tasted Bierzos several times over the last eight years. In the past weve been thrilled by the unusual qualities of these wines, and by our own sense of discovery. Weve observed Bierzo, an ancient wine region yet new to the world of international wine commerce, as it navigated the intricacies of global business, wavering between a desire to appeal to established popular tastes and a devotion to what made the wines distinctive in the first place.        
In our latest tasting, we saw a region that has moved past the thrill of the new (though eight years may feel like an eternity to modern attention spans, it is nothing in agricultural years). It is still grappling with issues of stylistic identity as well as with current economic realities. Bierzo estates have come and gone in the American marketplace, where consumers have perhaps gravitated more to the more delicate wines of Ribeira Sacra, also made primarily of menca across the border in Galicia.        
While these bigger issues remain, we were more concerned with the basic winemaking issue of balance. We certainly encountered wines that we liked very much, but we were also struck by the number of wines that did not seem to conform to that axiomatic definition of a good wine. For the tasting, Florence Fabricant and I were joined by Gil Avital, the wine director at Tertulia in Greenwich Village, and Jill Roberts, wine director of the Marrow in the West Village.        
How do you perceive balance? Partly, you can sense it when each individual element in a wine (fruit, tannins, alcohol and acidity) is in proportion so that no one element dominates or is noticeable by its absence.        
But balance has a figurative element as well. A truly balanced wine will have tension and energy, as with German rieslings that walk a tightrope between cloying sweetness and mouth-parching acidity, thrilling as they teeter back and forth, or great Champagnes that crackle with a vivacity that demands another sip.        
The flavors of a wine must also be in balance, as with the push-pull between bitter and sweet so typical of many Italian reds. This, in particular, was where we found too many of the Bierzo wines in our tasting falling short. We loved the aromatic fruitiness of these wines, but quite a few showed an off-putting bitter quality that was out of proportion to the other elements.        
What may have caused such a disjointedness? I can only speculate, but I would guess that either the grapes were not properly ripe at harvest, or the wine was overworked in the cellar, as producers tried to manipulate or eke out of the wine more intensity than it had to offer.        
It really depends on where menca grows, Gil said. Its got to have balance, but its hard to handle properly, like pinot noir.        
Though we were perhaps more aware of the misses, our tasting had its hits as well, like our No. 1 wine, the 2010 Vico from Ral Prez. Mr. Prez is one of the superstar winemakers in northwestern Spain, and his wines always show great purity and definition. This wine was burlier than his more graceful Ribeira Sacra wines, an excellent example of menca made in a slightly warmer climate, with fruit flavors buttressed by mineral and oak accents. Yes, it was beautifully balanced, and it will reward a few more years of aging. At $35, this was one of Mr. Prezs more modestly priced wines. Other cuves can soar past $90 or $100.        



 1  2 Next Page  



",Beguiling Reds from Bierzo,Dining & Wine,Review
602,"










DAKAR, Senegal  Oil is being stolen on an industrial scale in Nigeria, the worlds 13th largest producer, and the countrys politicians and security officials are among those profiting, according to a new report from a prominent British research group.        



Thieves steal an estimated average of 100,000 barrels a day, the report said; working in elaborate networks and protected by corrupted security officials, they tap into the huge and isolated network of pipes that crisscross the countrys swampy southern Niger Delta region. The price of oil fluctuates, but a hypothetical per-barrel price of $100 would mean an annual loss of $3.65 billion. Oil closed at $107.28 per barrel on Thursday.        
Much of this oil winds up being exported globally, said the report, which was released Thursday by the London-based organization Chatham House. The problem has reached such proportions that major oil companies operating in Nigeria have recently complained that theft is cutting significantly into production.        
A similar report last year, commissioned by the Nigerian government but largely ignored, said that over the preceding decade, thieves had been stealing 6 percent to 30 percent of the countrys daily production. Hydrocarbon theft is a major source of loss of revenue to the Federal Republic of Nigeria, said that report, prepared by the countrys former top anticorruption official, Nuhu Ribadu. It described the problem then as an emergency.        
The full extent of the countrys larcenous ingenuity is on display in the oil thievery. There is theft from tank farms, refinery storage tanks, jetties and ports, according to the Nigerian report. Officials and private actors disguise theft through manipulation of meters and shipping documents.        
Small-scale pipeline tapping operations can easily be detected in short daytime trips into the swamps from the Niger Deltas population centers. Telltale plumes of smoke from illegal refining operations rise above the water.        
But more significant bunkering, as oil theft is known here, involves siphoning oil from pipes on land or underwater, loading it onto small barges, then transferring it to bigger barges offshore in the Gulf of Guinea. Sometimes thieves use pipes up to 12 inches in diameter to tap the lines, according to Chatham House. Sometimes crude is stolen from export terminals.        
The Chatham House report underscored profiteering at high levels.        
Top Nigerian officials cut their teeth in the oil theft business during military rule, it said. Over time, evidence surfaced that corrupt members of the security forces were actively involved. The countrys return to democracy in 1999 then gave some civilian officials and political godfathers more access to stolen oil. Security officials are said to extort payments from the oil thieves in return for protection, according to Chatham House.        
The Chatham House report suggested that high oil prices have contributed to the incentive to steal. But it was inconclusive on the question of how much of the stolen crude was exported, and how much was processed in operations in the Nigerian swamps. The bush refining business is highly decentralized and secretive, it said, which makes its size hard to estimate.        
Mr. Ribadus report gave a higher possible figure for the scale of daily theft  250,000 barrels  but the Chatham House document emphasized the unreliability of figures from government and oil companies. Mr. Ribadu suggested, in stronger terms than the more recent document, that the problem is growing, noting that Shell claimed a fivefold increase in losses between 2009 and 2012, from 10,000 barrels per day to 50,000 in March of last year.        
Chatham House, by contrast, said that outsiders should look closely at claims that Nigeria is losing oil at unheard-of rates, adding that the high divergence in industrywide estimates makes it hard to gauge trends reliably.        



 



","As Oil Thieves Bleed Nigeria, Report Says, Officials Profit",World,News
